,,0,1,2,3,4,5,6,7,8,9,10,11
LBGI,adult#001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HBGI,adult#001,1.5109016036945477,1.5108898399567552,1.5108416427955702,1.5107517784435078,1.5106320250870593,1.5104964084273995,1.5103556362216157,3.1387910592686667,7.871859402740853,5.919681977510563,4.27317052232022,4.601138020335908
Risk Index,adult#001,1.5109016036945477,1.5108898399567552,1.5108416427955702,1.5107517784435078,1.5106320250870593,1.5104964084273995,1.5103556362216157,3.1387910592686667,7.871859402740853,5.919681977510563,4.27317052232022,4.601138020335908
